Sat. Aug.  4, 2018             LANDSAT 7                 Time: 05:36
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L28968433            Path/Row: 014 / 028

L0R Reference Image: L72EDC1118190150101_HDF.182161003
Acquisition Date: Jul 09, 2018

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
014   028   06-08-2001


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0140280138_01   46.288435  -72.680586   -13.000      -0.057     0.668    -0.175     0.647
0140280139_01   46.559664  -73.819402   428.214      -1.588     2.364    -1.984     2.041
0140280140_01   45.579028  -73.167199     2.994      -0.917     0.303    -0.956     0.134
0140280142_01   46.778601  -72.506733   140.658       5.488    -2.494     5.843    -1.479
0140280143_01   46.291358  -73.383500   162.549       2.769    -3.186     3.291    -2.640
0140280144_01   45.755225  -73.640914     3.730       1.096    -3.582     1.718    -3.327
0140280146_01   45.550748  -73.856854     0.000       5.532    -2.707     5.925    -1.672
0140280147_01   46.694402  -72.742517    78.640       0.018     2.349    -0.400     2.314
0140280150_01   46.267250  -72.797110   -22.072      -3.914    -0.488    -3.764    -1.179
0140280151_01   45.445155  -73.311562   -19.000      -0.251    -0.337    -0.186    -0.376
0140280153_01   46.406485  -73.710694   272.327      -0.555    -2.960    -0.019    -3.010
0140280155_01   45.664280  -73.645428     0.421       1.439     3.904     0.715     4.098
0140280156_01   45.660839  -72.342736   159.991       3.913     0.967     3.677     1.653
0140280160_01   46.302513  -72.278333    29.970       3.823     1.990     3.408     2.641
0140280162_01   45.911866  -74.145768   151.000      -2.175    -0.681    -2.019    -1.058
0140280167_01   46.132932  -72.477789    30.462       2.818     2.617     2.306     3.079
0140280168_01   45.517434  -73.360872    -1.000      -0.903     1.518    -1.161     1.331
0140280171_01   45.519452  -73.683863     0.000       0.790     0.377     0.709     0.512
0140280173_01   45.583802  -73.394706     3.000       1.627     0.019     1.597     0.310
0140280174_01   45.847147  -73.960527   121.000      -1.382    -4.280    -0.594    -4.457
0140280175_01   45.446942  -72.055486   237.660      -0.037    -1.722     0.274    -1.700
0140280176_01   46.095727  -73.354297    20.559      -1.784     3.789    -2.432     3.409
0140280177_01   46.830607  -73.888615   319.888       6.371     6.687     5.073     7.705
0140280178_01   46.244588  -72.648967   -22.505      -5.738    -1.046    -5.459    -2.054
0140280180_01   45.475245  -73.556311   -15.831       3.570     0.196     3.476     0.833
0140280183_01   45.440632  -73.890150     0.000      -3.037     1.638    -3.282     1.066
0140280184_01   45.466016  -73.835926    16.087      -3.415     2.650    -3.836     1.994
0140280185_01   45.342780  -73.152630    25.180      -0.640     0.465    -0.713     0.342
0140280186_01   46.434161  -73.133651   129.304      -1.236     0.897    -1.376     0.662
0140280190_01   45.771350  -74.031004    84.621       0.612    -5.338     1.557    -5.140
0140280191_01   45.776154  -73.963005    45.000      -4.691     3.761    -5.289     2.860
0140280192_01   46.107296  -72.722748     2.531      -3.908     3.198    -4.415     2.448
0140280193_01   46.559853  -72.683914    97.426      -4.768     3.362    -5.289     2.459
0140280194_01   46.861149  -73.227141   197.216       1.160    -2.793     1.637    -2.542
0140280195_01   45.963329  -74.205378   302.887      -5.377     2.417    -5.720     1.416
0140280198_01   46.197831  -72.457710    32.299       4.396    -5.084     5.234    -4.217
0140280199_01   46.358704  -73.353827   136.226      -0.173    -4.216     0.581    -4.178
0140280200_01   45.529670  -73.999048    42.168      -0.924    -1.818    -0.583    -1.954
0140280202_01   46.367142  -72.647612    33.237       1.818    -1.511     2.059    -1.163
0140280203_01   45.561116  -73.895084    -4.155      -0.605     1.949    -0.946     1.808
0140280204_01   46.190017  -72.339881    59.937       4.058    -1.367     4.237    -0.620
0140280205_01   45.470812  -73.425167   -10.000       5.082     1.478     4.733     2.365
0140280206_01   46.283475  -73.696448   368.589      -4.435     5.629    -5.365     4.744
0140280207_01   45.772039  -72.987248   -11.145      -4.245     5.813    -5.216     4.959
0140280209_01   46.872886  -73.675551   327.174      -3.687    -2.502    -3.182    -3.115
0140280211_01   45.660049  -73.747962   -15.195       6.277     1.933     5.826     3.025
0140280212_01   46.361325  -72.817120    13.276      -1.553     1.479    -1.792     1.179
0140280214_01   45.389173  -73.380297     1.000       1.781     1.573     1.469     1.866
0140280216_01   45.656512  -73.438837   -17.927      -0.393     2.302    -0.800     2.193
0140280217_01   46.328013  -72.423229   -14.875       5.404    -3.264     5.901    -2.248
0140280218_01   45.749154  -73.823882    33.985       5.567     6.929     4.232     7.810
0140280220_01   46.655130  -72.134420     3.635       1.633     1.814     1.286     2.076
0140280224_01   46.553919  -72.093182     9.000       6.019     0.639     5.812     1.702
0140280229_01   45.908129  -73.870813   140.241      -6.537    -0.596    -6.323    -1.753
0140280230_01   46.607947  -71.830150    39.378      -0.066     2.948    -0.588     2.890
0140280236_01   46.271666  -73.567074   198.048      -0.064    -4.808     0.794    -4.740
0140280241_01   45.416507  -74.028273    -8.000       5.252     4.859     4.291     5.720
0140280242_01   45.453797  -73.634746     9.808       0.271    -5.395     1.234    -5.258
0140280243_01   45.216804  -72.531246   181.414       5.610    -2.905     6.040    -1.847
0140280244_01   45.443768  -74.240325    60.682      -3.884     0.477    -3.907    -0.227
0140280246_01   45.388294  -74.077811    16.000      -2.855    -3.426    -2.193    -3.882
0140280247_01   45.827192  -73.420939   -23.000       1.418     1.827     1.067     2.051
0140280248_01   45.641030  -72.126939    93.395      -0.638     0.401    -0.698     0.280
0140280250_01   46.425155  -71.791573    87.113      -4.406    -3.157    -3.773    -3.893
