Sat. Aug.  4, 2018             LANDSAT 7                 Time: 05:14
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L28968308            Path/Row: 014 / 029

L0R Reference Image: L72EDC1118190150101_HDF.182160959
Acquisition Date: Jul 09, 2018

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
014   029   07-21-1999


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0140290001_01   43.940734  -73.435472   104.776      -1.071     2.669    -1.535     2.430
0140290002_01   44.251597  -72.569744   133.795      -3.199     2.284    -3.554     1.668
0140290004_01   43.920800  -73.746527   250.767       0.978     1.482     0.693     1.634
0140290005_01   44.203702  -72.503005   178.580       4.132    -0.426     4.142     0.330
0140290006_01   44.299203  -73.520377   147.251      -3.038     2.311    -3.404     1.724
0140290007_01   44.122067  -72.537193   230.361       3.227     4.355     2.389     4.867
0140290008_01   44.420092  -72.725192   234.737       0.201     1.230    -0.022     1.246
0140290009_01   44.936206  -72.214041   181.801       2.054     0.705     1.897     1.064
0140290011_01   44.697107  -73.612512   155.118      -0.413    -4.415     0.388    -4.415
0140290012_01   44.891388  -72.259138   225.070      -4.983     1.969    -5.251     1.039
0140290013_01   44.731110  -73.908732   494.348      -4.543     1.684    -4.768     0.837
0140290016_01   45.451589  -73.676618     9.000      -1.957     4.019    -2.646     3.602
0140290017_01   43.931203  -72.820910   395.686      -2.283     6.183    -3.359     5.664
0140290018_01   45.307361  -73.235294     2.108      -0.878     3.772    -1.540     3.553
0140290019_01   45.212670  -73.885424    13.000       4.410    -4.789     5.195    -3.919
0140290021_01   44.814481  -73.082695   102.062       2.514     0.207     2.436     0.656
0140290022_01   45.129820  -72.580402   247.224       1.744     2.012     1.356     2.293
0140290024_01   44.513767  -73.140522    70.007       1.977    -3.484     2.573    -3.070
0140290025_01   44.121730  -72.855159   259.637      -2.099     4.000    -2.783     3.553
0140290027_01   44.162121  -72.806045   373.205      -4.085    -3.460    -3.388    -4.139
0140290028_01   44.926611  -73.134850    12.235      -0.322     2.865    -0.831     2.760
