Mon. Aug. 13, 2018             LANDSAT 7                 Time: 05:33
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L29057370            Path/Row: 013 / 028

L0R Reference Image: L72EDC1118199150101_HDF.182251009
Acquisition Date: Jul 18, 2018

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
013   028   06-01-2001


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0130280208_01   45.729317  -72.412892    93.000      -0.286     2.890    -0.946     2.747
0130280211_01   45.792898  -70.993559   414.321      -3.959    -4.133    -2.887    -4.942
0130280212_01   46.540289  -71.451549   106.604       5.583    -1.582     5.800    -0.235
0130280216_01   46.596472  -70.846979   172.169      -1.396    -1.269    -1.065    -1.560
0130280217_01   45.306553  -71.725732   266.758       0.486     3.592    -0.367     3.606
0130280221_01   46.773061  -70.927671    36.326       1.495     5.457     0.178     5.654
0130280222_01   45.919263  -71.702983   328.008      -4.007     3.051    -4.605     2.030
0130280225_01   46.802517  -71.278648    -6.419      -2.640    -1.554    -2.203    -2.127
0130280226_01   46.721510  -72.074949    45.988      -3.675     1.432    -3.899     0.538
0130280230_01   45.946408  -72.000029   102.859      -4.086     1.352    -4.284     0.362
0130280232_01   45.626829  -71.295551   380.905      -1.930    -2.734    -1.240    -3.108
0130280233_01   45.960623  -70.975564   314.819       1.970    -3.833     2.804    -3.266
0130280235_01   46.101914  -70.266014   486.667       6.311    -0.027     6.124     1.446
0130280238_01   46.656017  -70.803914   271.167      -6.207    -2.471    -5.460    -3.850
0130280239_01   45.770508  -72.014499   154.000       6.812    -2.523     7.219    -0.861
0130280240_01   46.065270  -71.717475   186.764      -0.221    -4.644     0.873    -4.565
0130280242_01   46.596767  -71.535959    90.118      -4.878     4.322    -5.748     3.065
