Mon. Aug. 13, 2018             LANDSAT 7                 Time: 05:41
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L29057422            Path/Row: 013 / 029

L0R Reference Image: L72EDC1118199150101_HDF.182251011
Acquisition Date: Jul 18, 2018

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
013   029   08-31-1999


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0130290001_01   44.566928  -71.789921   354.009       1.436     1.927     0.943     2.209
0130290002_01   43.812305  -71.109982   101.787       0.846    -2.159     1.322    -1.901
0130290003_01   43.889980  -71.364079   260.703      -0.337     2.831    -0.995     2.671
0130290004_01   44.007601  -71.079848   113.856       2.486    -3.335     3.192    -2.659
0130290005_01   44.774111  -71.137516   346.000      -0.958     2.285    -1.470     1.995
0130290006_01   44.482414  -72.162001   508.337       1.807    -2.989     2.457    -2.481
0130290007_01   44.758303  -72.252834   367.212       4.513    -2.516     4.978    -1.388
0130290008_01   44.251625  -72.569697   133.819      -2.284    -1.688    -1.822    -2.177
0130290009_01   44.551808  -72.002596   227.491      -2.957     2.300    -3.413     1.543
0130290011_01   44.323166  -72.970944   236.619      -4.222    -0.686    -3.941    -1.655
0130290012_01   43.995834  -72.402409   477.458       1.040     3.298     0.238     3.449
0130290013_01   44.464633  -71.178986   284.626      -0.407    -0.263    -0.338    -0.351
0130290014_01   45.280555  -71.903884   186.226       1.428    -3.644     2.243    -3.208
0130290015_01   43.894927  -72.163959    95.455       1.105    -0.329     1.152    -0.060
0130290016_01   44.234562  -71.872956   190.172      -5.208    -1.308    -4.757    -2.492
0130290017_01   44.032487  -71.121900   126.131      -2.432    -4.266    -1.369    -4.717
0130290018_01   44.209432  -72.519457   155.057       3.144     1.091     2.803     1.799
0130290019_01   43.951271  -71.504466   424.841       1.562    -1.428     1.849    -1.021
0130290022_01   44.115959  -72.563759   334.515       1.833     1.788     1.365     2.169
0130290023_01   44.364853  -72.025399   224.899      -1.449    -3.743    -0.531    -3.978
