Mon. Aug. 13, 2018             LANDSAT 7                 Time: 05:41
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L29057422            Path/Row: 013 / 029

L0R Reference Image: L72EDC1118199150101_HDF.182251011
Acquisition Date: Jul 18, 2018

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
013   029   08-31-1999


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
0130290024_01   44.494003  -72.033584   286.077       0.870    -3.968     1.776    -3.652
0130290025_01   44.945279  -72.133714   270.836      -0.711     3.359    -1.477     3.100
0130290027_01   44.128698  -73.055738   165.254       2.355    -3.948     3.222    -3.287
0130290028_01   44.809114  -72.203718   206.111       4.222     2.366     3.552     3.290
0130290031_01   43.905310  -72.019938   352.189       3.055     1.683     2.574     2.352
0130290032_01   43.711879  -71.355946   129.765      -0.274     2.444    -0.843     2.310
0130290033_01   43.988058  -72.106808   116.291      -0.234    -0.284    -0.161    -0.331
0130290034_01   44.519145  -71.570584   240.129      -4.238    -1.141    -3.853    -2.103
0130290035_01   44.602789  -72.584735   194.042      -4.885    -3.415    -3.946    -4.465
0130290036_01   44.018864  -72.602469   395.854       1.378     1.603     0.966     1.881
0130290037_01   44.019292  -72.227089   217.515       2.148     0.522     1.966     1.012
0130290038_01   43.920792  -72.233712   187.573      -0.910     0.741    -1.058     0.507
0130290039_01   43.993350  -72.580721   366.686       0.569     1.814     0.130     1.898
0130290040_01   43.838602  -71.366900   158.043       1.560    -1.532     1.871    -1.123
0130290041_01   44.742867  -72.079171   413.104       2.371     0.844     2.107     1.376
0130290042_01   45.225834  -72.241204   234.552      -4.785     3.913    -5.566     2.685
0130290043_01   43.963483  -72.126466   135.596       0.650     0.364     0.546     0.507
0130290044_01   44.874395  -72.254057   191.595       2.201     3.859     1.238     4.269
0130290046_01   44.176475  -71.947816   138.328      -2.814    -0.723    -2.567    -1.363
0130290048_01   44.112042  -72.046200   104.548       3.039    -0.610     3.098     0.120
0130290049_01   44.584964  -70.882280   591.307      -4.335     2.776    -4.863     1.679
0130290050_01   44.988891  -71.529856   337.988      -2.484    -1.778    -1.999    -2.310
0130290051_01   44.204375  -71.923677   156.009      -0.771    -0.819    -0.559    -0.977
0130290054_01   44.105225  -72.526755   349.634       2.196     4.373     1.112     4.766
0130290057_01   44.327386  -71.971173   262.566      -1.483    -4.211    -0.455    -4.440
0130290059_01   44.504843  -73.140268    70.349      -2.746     0.376    -2.754    -0.276
0130290061_01   44.052242  -71.684735   227.951       1.782    -1.909     2.177    -1.438
0130290062_01   44.668449  -73.013406   110.368       5.541     0.588     5.257     1.871
0130290066_01   44.896246  -71.506031   288.303       4.587     5.556     3.155     6.474
0130290067_01   43.792590  -71.898289   394.507      -2.938     5.837    -4.225     4.983
0130290068_01   43.900215  -72.605010   297.018       1.532     2.254     0.963     2.551
0130290069_01   44.676035  -72.775476   129.417      -1.816     6.950    -3.393     6.335
0130290070_01   44.480381  -71.624334   231.365      -2.094    -1.142    -1.769    -1.601
0130290071_01   45.539558  -72.770667    12.106       6.621    -6.260     7.915    -4.539
0130290072_01   45.034738  -71.765348   407.292       2.543    -3.520     3.296    -2.824
0130290075_01   44.643633  -72.625460   221.372      -0.200     3.862    -1.097     3.709
0130290077_01   45.161084  -72.002011   220.460      -2.483    -2.482    -1.831    -2.994
0130290079_01   44.295325  -72.466304   270.518      -0.339     4.865    -1.468     4.651
0130290080_01   44.449135  -72.260116   481.107      -1.613     0.681    -1.726     0.284
0130290081_01   44.204248  -72.102390   292.217      -1.117    -3.096    -0.360    -3.271
0130290082_01   45.443587  -71.927972   125.000      -3.499    -3.834    -2.503    -4.546
0130290083_01   43.802628  -71.179382   101.000      -2.016    -2.435    -1.394    -2.840
0130290084_01   44.641031  -71.566885   255.874       0.155     4.772    -0.969     4.673
0130290085_01   45.297083  -71.848100   217.000       4.499    -4.698     5.475    -3.513
0130290086_01   45.103951  -71.976895   247.000       0.272     0.176     0.224     0.235
0130290087_01   43.971058  -72.480650   239.120       4.318     0.415     4.103     1.417
0130290088_01   44.015392  -71.111559   129.823      -2.904    -6.589    -1.283    -7.086
0130290089_01   44.359611  -71.988613   286.821      -1.874    -2.741    -1.179    -3.103
0130290090_01   44.635574  -72.071973   446.920       1.118     0.755     0.910     0.996
0130290092_01   44.304016  -72.491262   275.668      -1.633    -1.217    -1.300    -1.566
0130290094_01   44.308420  -71.747171   241.128      -0.200    -1.644     0.190    -1.645
0130290095_01   44.715695  -72.389828   280.079       6.019     0.540     5.727     1.936
0130290096_01   44.041646  -70.988178   102.929       2.005     5.719     0.603     6.028
0130290099_01   44.340444  -73.190002    71.131       1.806    -4.192     2.747    -3.653
0130290100_01   44.806301  -71.233545   376.091       1.638     0.865     1.385     1.224
0130290102_01   44.424124  -72.140765   409.154       1.779     1.129     1.465     1.515
0130290104_01   44.101430  -71.203827   155.132      -1.070    -2.949    -0.354    -3.118
0130290105_01   44.300951  -72.021361   159.422      -0.530    -2.075    -0.029    -2.141
0130290109_01   44.519233  -72.622257   201.762      -2.253    -3.681    -1.325    -4.106
0130290111_01   44.023430  -72.427944   378.224       2.867    -0.855     2.988    -0.158
0130290112_01   44.253930  -73.207141    62.877      -0.019    -6.972     1.625    -6.787
0130290113_01   44.244560  -73.138469   138.059      -1.034    -6.231     0.463    -6.303
0130290114_01   44.031314  -71.701759   206.790       1.949     3.685     1.029     4.039
0130290115_01   44.915294  -72.626180   261.849      -1.120     0.719    -1.254     0.438
0130290116_01   44.408071  -71.199113   225.460      -3.748     0.988    -3.877     0.081
0130290119_01   44.286082  -71.799519   219.904       0.571    -1.371     0.875    -1.199
0130290120_01   44.121046  -71.180935   205.489      -0.738    -0.121    -0.693    -0.291
0130290122_01   44.968564  -72.121668   277.556       3.125     0.759     2.861     1.470
0130290123_01   45.240028  -72.755744    93.000      -7.157     0.141    -6.990    -1.537
0130290127_01   44.213304  -71.726595   290.256      -0.657     0.110    -0.666    -0.047
0130290130_01   45.027916  -72.388805   155.217      -0.593     3.439    -1.380     3.206
0130290131_01   44.290129  -72.675432   129.669      -1.514     0.156    -1.506    -0.203
0130290133_01   45.224569  -72.607219   185.000      -0.846     3.381    -1.611     3.091
0130290135_01   44.287930  -71.866534   321.643      -1.663    -1.478    -1.271    -1.827
0130290136_01   44.455419  -72.758196   198.424       0.137    -6.574     1.680    -6.361
0130290137_01   45.322463  -71.933588   309.642       3.690    -6.343     5.073    -5.301
0130290139_01   44.586807  -71.600021   247.743      -2.855     3.048    -3.490     2.293
0130290140_01   43.793718  -71.446042   157.557       0.939     5.264    -0.325     5.336
0130290141_01   44.215331  -73.065069   163.943      -4.835    -2.223    -4.177    -3.294
0130290142_01   44.133564  -72.579444   425.289       0.158    -2.558     0.756    -2.449
0130290143_01   44.188546  -72.143230   196.401      -1.306    -0.834    -1.074    -1.117
0130290146_01   44.274670  -71.910247   225.282      -2.275    -0.127    -2.183    -0.657
0130290148_01   44.719001  -73.011981   173.492      -1.851    -2.129    -1.295    -2.503
0130290150_01   44.758025  -72.186108   253.267      -0.018     1.078    -0.268     1.044
0130290151_01   44.173711  -73.125997   257.726      -3.102     4.712    -4.119     3.857
0130290152_01   43.899512  -71.899739   183.232       1.041     1.065     0.760     1.280
0130290153_01   44.319092  -72.385319   237.168      -0.931     1.676    -1.297     1.412
0130290156_01   44.208900  -72.789023   175.756      -0.857    -3.552     0.004    -3.654
0130290158_01   44.122763  -72.536048   230.048       1.175     2.032     0.668     2.251
0130290159_01   43.732246  -71.130264   161.575       1.810    -3.503     2.574    -2.980
0130290162_01   44.208991  -73.113820   132.383       2.917    -2.986     3.544    -2.219
0130290163_01   44.858149  -71.543485   321.595       0.966     3.115     0.208     3.253
0130290164_01   43.842034  -71.277844   116.359       3.260     1.739     2.756     2.454
0130290167_01   45.007859  -72.794197   192.884      -5.126     1.775    -5.397     0.528
0130290168_01   43.849518  -71.668154   161.439       3.202    -0.625     3.256     0.143
0130290169_01   43.976283  -72.565108   226.514       1.880    -0.770     2.011    -0.307
0130290170_01   44.502950  -71.675916   415.693      -0.026    -0.201     0.020    -0.202
0130290172_01   44.478419  -71.531826   263.304       1.241     3.439     0.398     3.633
0130290174_01   43.712177  -71.090825   142.144      -2.351    -2.725    -1.652    -3.202
0130290177_01   44.015302  -73.100009   107.088      -3.025     2.608    -3.551     1.829
0130290179_01   44.698654  -71.040074   406.305      -0.200     1.617    -0.577     1.523
0130290181_01   45.109236  -72.855452   123.581       1.298     3.615     0.419     3.822
0130290182_01   44.066580  -71.118623   156.860      -1.262     1.621    -1.611     1.278
0130290185_01   43.868907  -71.216145   130.685       1.148     0.794     0.925     1.041
0130290186_01   44.803676  -71.848734   341.094       3.572    -0.783     3.655     0.076
0130290187_01   43.755917  -71.164269   135.129       0.837    -2.079     1.295    -1.825
0130290189_01   43.979006  -71.136452   117.742      -0.359    -0.936    -0.134    -0.994
0130290190_01   44.480636  -72.007994   210.042       0.248    -1.314     0.549    -1.219
0130290191_01   44.118565  -73.089910    89.865       1.605    -1.828     1.996    -1.401
0130290192_01   44.884418  -72.786821   126.223      -4.852    -0.856    -4.514    -1.968
0130290193_01   44.140606  -72.007913   187.737       0.114    -0.835     0.307    -0.785
0130290195_01   44.394850  -72.371608   395.941       2.825     3.314     1.971     3.883
0130290197_01   43.878191  -71.168692   116.587      -0.040    -0.075    -0.027    -0.083
0130290198_01   43.847568  -71.338143   177.865      -1.347     4.594    -2.390     4.147
0130290199_01   44.993470  -71.456223   449.747      -1.006    -2.516    -0.390    -2.680
0130290200_01   44.934514  -72.790877   137.373       1.638     5.858     0.223     6.083
0130290202_01   44.037113  -73.190993   104.700       3.002     6.625     1.370     7.151
0130290203_01   45.267304  -72.139163   182.761      -2.483    -0.801    -2.224    -1.359
0130290204_01   44.876592  -72.077565   416.327       4.645     2.144     4.013     3.172
0130290206_01   45.115107  -72.144912   235.618       1.253     2.249     0.693     2.480
0130290208_01   45.026245  -72.669745   119.539       0.814     2.613     0.183     2.733
0130290209_01   44.634712  -72.676343   129.480      -0.266     0.447    -0.360     0.374
0130290210_01   45.010491  -72.148693   188.433       4.652     1.758     4.112     2.799
0130290212_01   45.363797  -71.847618   125.000      -2.854    -5.475    -1.491    -5.991
0130290213_01   43.951423  -73.088878   148.065      -3.172    -2.114    -2.584    -2.798
0130290214_01   43.791878  -71.818834   147.992      -1.119     1.852    -1.524     1.538
0130290216_01   44.196052  -72.719876   411.909      -0.396     1.254    -0.677     1.127
0130290220_01   44.565020  -71.572227   236.344       0.511     2.551    -0.103     2.599
0130290223_01   44.992674  -71.935729   413.460       2.042     0.922     1.769     1.374
0130290226_01   43.836584  -71.398911   178.238      -0.872    -1.734    -0.445    -1.890
0130290227_01   44.830645  -71.935455   371.972       1.129    -0.445     1.202    -0.168
0130290228_01   44.427714  -71.976632   183.346       3.295    -3.165     3.945    -2.304
0130290232_01   44.531978  -71.996668   224.621      -1.266    -0.031    -1.223    -0.327
0130290233_01   45.041949  -72.416299   169.119       0.530    -0.066     0.534     0.061
0130290234_01   44.722135  -72.046629   567.216      -2.718     4.141    -3.610     3.387
0130290235_01   44.062086  -71.156669   128.502      -3.508    -1.316    -3.106    -2.103
0130290236_01   44.966319  -70.654293   440.811       0.251    -1.277     0.536    -1.182
0130290237_01   44.563746  -72.493935   200.314       1.902    -0.286     1.920     0.168
0130290238_01   44.477261  -72.958765   183.139       0.241    -6.241     1.704    -6.012
0130290239_01   44.375016  -72.553472   212.744      -1.139     0.713    -1.273     0.427
0130290240_01   45.109837  -72.614467   153.544      -1.854     0.902    -2.010     0.444
0130290241_01   44.072204  -70.954735    94.644      -0.957    -2.291    -0.399    -2.452
0130290242_01   44.855428  -71.407440   507.262      -0.268     2.196    -0.777     2.070
0130290243_01   44.172738  -71.541595  1233.143       2.699     0.413     2.519     1.032
0130290245_01   44.124932  -72.148476   283.826      -1.103    -1.487    -0.723    -1.704
0130290246_01   43.807224  -71.136284   100.590      -1.289     1.165    -1.531     0.829
0130290247_01   44.455787  -71.146982   469.302       2.635    -1.583     2.926    -0.920
0130290248_01   44.926058  -72.004939   468.251       1.661     3.436     0.811     3.728
0130290249_01   44.263051  -72.618496   129.933      -1.028     0.387    -1.088     0.136
0130290250_01   45.186586  -72.253866   246.605      -2.002     0.829    -2.138     0.338
0130290251_01   44.528510  -72.135803   480.622      -4.993     2.175    -5.361     0.944
